address,business_name,email,numbers,website
"Ugbo Road, Before Amagba, Boundary Road, Benin City, Edo State",Fil Beauty Empire Benin City Edo State,customerservice@filbeautyempire.com,"0808 495 7993,0908 453 8863",https://filbeautyempire.com/
"Kebbi State Government House, Sultan Abubakar Road, Birnin Kebbi, Kebbi Nigeria",Kebbi State Government Birnin Kebbi Kebbi Nigeria,info@kebbistate.ng,,http://kebbistate.ng/k/
"No. 14A Osaigede Street, Off Akpabo street, Off Nneka street, 1st Ugbor Road, GRA, Benin City, Edo","Oricap Service Apartment & Suite GRA, Benin City Edo",,0909 043 5217,
"No. 1, Motel Bellisima Street, Off Benin - Sapele Road, Utesi, Benin City, Edo","Motel Bellisima Limited Utesi, Benin City Edo",,0816 152 1075,
"No. 1 Okpiahio Crescent, off Aroko Street, off Benin-Agbor Road, Ikpoba Hill, Benin City, Edo state",Marvellous Benjis Hotel and Event Centre Benin City Edo state,,0816 520 3660,
"No. 1A Edohen Close, Off Ekewan Road, opposite GT Plaza, Ogogugbo, Benin City, Edo","JIL Newworld Hotels Ogogugbo, Benin City Edo",,0908 669 8670,
"Km 10 Upper Siluko Road, By Fire City Church Okhokhugbo, Egor, Benin City, Edo","Filagues Hotel & Suites Egor, Benin City Edo",filagueshotel@gmail.com,"0806 423 3463,0809 222 5923",
"No. 29 Benin-Asaba Highway, Benin City, Edo State",Hotel Doris Dey Limited Benin City Edo State,,"0802 334 9264,0805 801 6004,0803 513 8408",
"No 60, 19th Street behind BDPA, Opposite UniBen Main Gate, Benin City, Edo",Deutschmann Hotel Benin City Edo,,0906 877 7218,
"Ehimare Avenue, Off Ekae/Ugbor Road, GRA, Benin City, Edo State","Da Legend Homes and Apartments GRA, Benin City Edo State",,0815 343 9224,
"Plot 4/5 Ibude Lane, Off Blessed People Avenue, Off, Boundary Road, GRA, Benin City, Edo","Limoh Suites GRA, Benin City Edo",limohsuites@gmail.com,0907 249 9533,
"No. 1 Urubi Street, Iyaro Benin City, Edo",City Inn Hotel and Suites Iyaro Benin City Edo,,0807 666 1000,
"No. 15 Amen-Owie Street, Uyi Aigbogun Street, 2nd Ugbor Road, Oka, Benin City, Edo","Abuja Quarters Oka, Benin City Edo",,0902 533 6698,
"No. 4 Imade Lane, off Guobadia Country Home Road, Off Sapele Road, GRA, Benin City, Edo state","RV Service Homes GRA, Benin City Edo state",info@rvservicehomes.com,0901 441 4474,https://rvservicehomes.com/
"No. 2 Umveni Street, Opposites Stellah Obasanjo Hospital, Along Country Home Road, Benin-City, Edo State",Iyore Grand Hotel & Suites Benin,iyoregrandhotel@yahoo.com,0815 538 4153,http://www.iyoregrandhotel.com.ng/
"No. 12, Gbadamosi Avenue, Nosa Edugie way. MTN Mask Road; 1st Ugbor Road, Benin City, Edo State",Edugie Homes Benin City Edo State,edugiehomes@gmail.com,0906 229 3712,https://edugiehomes.com/
"No. 10 Irene Oziegbe Close, Off Christopher Street, Off Country Home Road, GRA, Benin City, Edo","Besbrea Homestays GRA, Benin City Edo",booking@besbrea.com,"0814 887 1564,0810 491 3980",https://www.besbrea.com/
"No.5-7, Isekhere Street, Off Ibewe Road, Ring Road, Benin, Benin City, Edo",Carlcare,service@carlcare.com,"0903 600 3533,0817 295 1002",https://www.carlcare.com/ng/
"266 Ugbowo-Lagos Road, Benin City, Edo Nigeria",Community Research & Development Centre Benin City Edo Nigeria,info@credcentre.org,"0802 897 8877,0703 940 5619",http://www.credcentre.org/
"134 Murtala Mohammed Way, Benin City, Edo Nigeria",Berger Paint Benin Deport Benin City Edo Nigeria,,"0810 216 4842,0810 216 4841",http://www.bergerpaintsnig.com/outlet
"Trade Fair Permanent site Aerodrome Close Off Goodwill Road, Benin City, Edo State Nigeria",Benin Chamber of Commerce Benin City Edo State Nigeria,info@benccima.com,0810 040 5583,http://www.benccima.org
"Plot 74 Block N Evbuoriaria Industrial Layout Km 8 Off Benin-Sapele Road Evbuabogun Town, Benin City, Edo Nigeria",Andy Industries Nigeria Ltd Benin City Edo Nigeria,contact@andyindustries.com,0803 566 4477,http://www.andyindustries.com/
"No. 61a New Lagos Road, Egor, Benin City, Edo State",Airtel Store,customercare@ng.airtel.com,0802 150 0111,https://www.airtel.com.ng/
"Uyi Grand Event Center, Head up, Rex Osagiede Avenue, GRA, Benin City, Edo State","Bella Homes NG GRA, Benin City Edo State",info@bellahomesng.com,"0803 466 4190,0808 508 0555,0805 324 7542",https://www.bellahomesng.com/
"Plot 4/6 Bab Omoruyi Street, Ugbor Village, Near Obasuyi Street, Benin City, Edo State",The Museum House Benin City Edo State,,0902 909 8883,
"No 35 Benin - Sapele Road, Benin City, Ed0",9mobile Experience Centre Benin City Ed0,care@9mobile.com.ng,"0809 000 0200,0809 769 0704",https://9mobile.com.ng/
"Upper Ekhewan, Benin City, Edo Nigeria",PritiArt Studio Benin City Edo Nigeria,,0806 266 0508,
"5, Ibiwe Street, Benin City, Edo Nigeria",Roccoco Arts Benin City Edo Nigeria,,0805 402 0890,
"Shop B210 Upstairs, No. 23 Reuben Agho Avenue, G.R.A, Benin City, Edo","NGS Photography & Videography G.R.A, Benin City Edo",,"0815 390 9788,0803 699 8168",
"Ekosodin Road, Close to Ekosodin Market, Uselu, Benin City, Edo","Moze Darren Pictures Uselu, Benin City Edo",,0902 529 1845,
"Uwa Street, Off Five Junction, Ed College Road, off Wire Road, Benin City, Edo",Mc Donstars Dedrunker Benin City Edo,dedrunkermcdonstars@gmail.com,"0808 697 3628,0704 915 8169,0815 472 7880",
"18 Ugbonmata Road Oguigo Street GRA, Benin City, Edo State Nigeria",Marie Performing Arts Academy Benin City Edo State Nigeria,,0813 597 7554,
"No. 24 Goodnews Street, Oka, Benin City, Edo","Jonathan Ikhifa Production Oka, Benin City Edo",,"0806 466 5261,0701 876 8291",
"No. 19 Ulomo Avenue, Off Ekenwan Road, Joromi, Benin City, Edo State","Fontini Cristi Art Gallery Joromi, Benin City Edo State",fontinicristiart@yahoo.com,0803 882 3485,
"153 Erhunmwunse Street, Close to Abu-God Super Store, Okhokhugbo, Benin City, Edo","Glitters Digital Studio Okhokhugbo, Benin City Edo",,0807 396 3402,
"No. 4 Agadagudu Street, Egor, Benin City, Edo","Fannys Moviegallon Egor, Benin City Edo",,"0807 530 2380,0813 011 1857",
"Shop 9 Bob Izua Shopping Complex, Gapoina Avenue, G.R.A, Benin City, Edo","Empire Filmwork G.R.A, Benin City Edo",,0807 826 4843,
"2A, Golf Course Road, GRA Benin City, Edo Nigeria",Crowne Art Gallery GRA Benin City Edo Nigeria,,0706 860 9724,
"2 Sokoto Argungu Bypass, Argungu Birnin Kebbi, Kebbi Nigeria",Zangina Business Ventures Argungu Birnin Kebbi Kebbi Nigeria,,8062355869,
"21 Atairu Jegga Road, Birnin Kebbi, Kebbi Nigeria",Da Gaske Cassava And Sesame Farmers Co,,"803,641,929,607,034,000,000",
"44 Makrargwandu Road, Birnin Kebbi, Kebbi Nigeria",Kadi Trading Company Birnin Kebbi Kebbi Nigeria,,8067222257,
"6 New Market Road, Birnin Kebbi, Kebbi Nigeria",Alhaji Garba Salisu Takware Birnin Kebbi Kebbi Nigeria,,8033141393,
"22A Jihab Plaza Opp. NITEL, Birnin Kebbi, Kebbi State Nigeria",Glo,,0803 589 7158,
"Gombe, Gombe, Gombe State",91.9 Gombe FM Gombe Gombe State,,,
"Gombe State Board of Internal Revenue, off Bauchi Rd, Gombe, Gombe State Nigeria",The Gombe State Board of Internal Revenue Gombe Gombe State Nigeria,info@gombeirs.gov.ng,"0818 582 8248,0818 868 1172,0803 044 1224",https://gombeirs.gov.ng/
"Gombe State Government House, GRA Gombe, Gombe State",Gombe State Government GRA Gombe Gombe State,info@gombestate.gov.ng,803245468,http://gombestate.gov.ng/
"Tudun Wada, Gombe, Gombe State Nigeria",Gombe State University Gombe Gombe State Nigeria,contact@gsu.edu.ng,"0806 080 1793,0803 072 8089,072 223 024",http://gsu.edu.ng/
"Bau 1, Gombe LG Shopping Complex, Gombe, Gombe State",Syspec Networks Limited Gombe Gombe State,,"803,283,928,108,023,000,000",
"23 Sabo Line Street, Sabo Line, Gombe, Gombe State Nigeria",Vinco Computers Gombe Gombe State Nigeria,,7063933635,
"GRA Road, Near Government House, Gombe, Gombe State",Al,,"802,744,406,308,096,000,000",
"Federal College Of Education, Gombe, Gombe State",Mike Computers Gombe Gombe State,,"813,393,570,808,025,000,000",
"Miyetti, State Low-Cost Road, Bolari Quarters, Gombe, Gombe State",Gombe International School Gombe Gombe State,gint.school@yahoo.com,"703,836,621,308,038,000,000",http://www.gombeinternationalschool.net/
"1 Ashaka Road, Federal Hospital Road, Gombe, Gombe State Nigeria",Nataj Motor Gombe Gombe State Nigeria,,8065981811,
"Bauchi Road, Opp. Amni Plaza, Gombe, Gombe State",Mansury & Associates Gombe Gombe State,,8166030997,
"New Commercial Area, Kasuwan Goro, Gombe, Gombe State, Nigeria","National Gallery of Art Gombe Gombe State, Nigeria",,"803,484,846,408,093,000,000",
"Opposite Idi Praying Ground, Gombe, Gombe State",SunTrust Gombe Gombe State,suntrust@suntrustng.com,8080980001,http://www.suntrustng.com/
"Bauchi Road, Opposite Deputy Governor Office, Gombe, Gombe State",Center For Management Development Gombe Gombe State,cmdgombe@cmd.gov.ng,"80,296,422,720,805,500,000,000,000,000,000",http://www.cmd.gov.ng/
"Gombe, Gombe, Gombe State",Gombe United Football Club Gombe Gombe State,,,
"A45, Komo Town High way Service, Akko, Gombe, Gombe State Nigeria",Augustine Motors Gombe Gombe State Nigeria,,8090923296,
"8 Buhari Housing Estate, Gombe, Gombe State",Gombe State Transport Services Gombe Gombe State,,7223868,
"No 1, Church Road, Gombe, Gombe Nigeria",GUO Transport Gombe Gombe Nigeria,,"0807 509 0652,0700 012 1000",https://www.guotransport.com
"Gombe State Investment Shopping Complex, Sabo Line, Gombe, Gombe State",CourierPlus Services. Gombe Gombe State,,8031887681,http://www.courierplus-ng.com/
"Gombe Line Terminus, Gombe, Gombe, Nigeria","Benue Links Transport Gombe Gombe, Nigeria",info@benuelinks.org,"0809 494 3511,0806 535 2641",http://benuelinks.org/
"Gombe, Gombe, Gombe State",Bura Hassan Transport Gombe Gombe State,,,
"Kashere-Pindiga Road, Kashere, Gombe State",Federal University Kashere Kashere Gombe State,info@fukashere.edu.ng,,https://fukashere.edu.ng/
"Federal Low Cost Road, Gombe Main Market, Gombe, Gombe State Nigeria",Top Man Feed MIll Gombe Gombe State Nigeria,,7037992152,
"Market Square, Galadima Palace Road, Bare Billiri, Gombe, Gombe State Nigeria",Saura Agrovest Gombe Gombe State Nigeria,,"802,550,818,608,032,000,000",
"40 State Low-cost Road, Gombe, Gombe State Nigeria",El,,8027818744,
"Yelmatu Duba Road, Gombe, Gombe State Nigeria",Divine Grace Livestock Gombe Gombe State Nigeria,,"803,819,689,508,025,000,000",
"Tudun Wada Quarters, Gombe, Gombe State, Nigeria",Abu,,"0813 665 1683,0809 333 4994",
"Tudun Wada Quarters, Gombe, Gombe State",Abu,,"813,665,168,308,093,000,000",
"Along Bauchi Road, Akko, Gombe, Gombe Sate",Rumee Diagnostic Gombe Gombe Sate,,8067412050,
"Gwandum Road Cillian, Shongom, Gombe, Gombe State Nigeria",Toro Health Clinic Gombe Gombe State Nigeria,,7088442569,
"7 Dukku Road, Gombe, Gombe State Nigeria",Musaba Medical Centre Gombe Gombe State Nigeria,,"802,692,790,108,036,000,000",
"No, 12 Danfodiyo street, GRA, Gombe, Gombe Nigeria",Dan Fodiyo Essential Health & Herbal Centre Gombe Gombe Nigeria,danfodiyoherbalhospital@gmail.com,"0806 679 6420,0802 831 5312",
"Bojude Ward, Bojude Town, Kwami, Gombe, Gombe State Nigeria",Cottage Hospital Gombe Gombe State Nigeria,,8032569289,
"Ashaka Road, Gombe, Gombe State",Federal Medical Center Gombe Gombe Gombe State,,7081456608,http://www.fmcgombe.org/
"8 Gombe, Off Pantami Road, Opposite State Water Board Building, Gombe, Gombe State Nigeria",ICS Job portal Gombe Gombe State Nigeria,,"805,379,913,808,036,000,000",http://www.icsjobportal.com/Default.aspx
"Mai Palace, Billiri LGA, Gombe, Gombe State Nigeria",U S A Provision & Store Gombe Gombe State Nigeria,,0806 216 4448,
"Jeka da Fari Road, Gombe, Gombe State Nigeria",San Husain Supermarket Gombe Gombe State Nigeria,,0806 472 1014,
"Shop No:1 El-musli Abacha Road Adjacent NICM, Federal Low-Cost, Gombe State Nigeria",Samhad E,sales@samhad.com,"0706 200 3886,0802 466 0249,0803 366 5440",
"Shop No. 77 & 78 Costain Market, Beside Aroma Restaurant, Worker Village Ashaka Cement Factory, Funakaye, Gombe Nigeria",Maman Chijioke Shopping Mall Funakaye Gombe Nigeria,mamanchijiokeshoppingmall@gmail.com,0816 981 8458,
"Near NNPC Mega Filling Station Sabo Line Biu Road, Gombe, Gombe State Nigeria",Makay Supermarket Ltd Gombe Gombe State Nigeria,jenebe1240@gmail.com,0811 618 5990,
"Gona Main Street Along Access Bank, Dukku, Gombe State Nigeria",Ibrahimawa Supermarket Dukku Gombe State Nigeria,,0802 243 4170,
"Along Resort Street, Tunfure, Gombe State Nigeria",Dange Supermarket Tunfure Gombe State Nigeria,,0813 739 0529,
"Main Market, Gombe, Gombe State Nigeria",Alhaji Isah Ahmadu Yafeto Ent. Gombe Gombe State Nigeria,,0806 948 8129,
"Birnin Kebbi, Birnin Kebbi, Kebbi Nigeria",Zinari Hotels & Resort Birnin Kebbi Kebbi Nigeria,,8068322663,
"Sokoto Road, Argungu, Birnin Kebbi, Kebbi Nigeria",Grand Fishing Hotel Birnin Kebbi Kebbi Nigeria,,"060-550544,060-550547",
"Sani Abacha Way, Gesse Phase 1, Birnin Kebbi, Kebbi State",Kakale Crown Guest Inn Birnin Kebbi Kebbi State,,8060899907,
"Badariya Road, Phowurar Mayanka, Birnin Kebbi, Kebbi Nigeria",Al Asad Electricals Birnin Kebbi Kebbi Nigeria,,8036783357,
"Sani Kalgo Road, Birnin Kebbi, Kebbi State, Nigeria","Alfijir Bereau De Change Ltd Birnin Kebbi Kebbi State, Nigeria",,8037055449,
"4 Emir Hauruna road, Beside Nitel Office, Birnin Kebbi, Kebbi Nigeria",Legacy Pension Managers Ltd Birnin Kebbi Kebbi Nigeria,bara'uzaki@legacypension.com,7038790082,https://www.legacypension.com/
"Plot No. 44, Behind Sardauna House, Sakita, Gesse Phase 3, Birnin Kebbi",Distributed Generation Gesse Phase 3 Birnin Kebbi,info@dgltd.com.ng,8036115730,http://dgltd.com.ng/
"Sultan Abubakar Road, Birnin-Kebbi, Kebbi",Arm Pension Managers Ltd Birnin,,"70,194,045,630,802,700,000,000,000,000,000",http://www.armpension.com/
"Beside Main market, Argungu, Kebbi Nigeria",Kanta Museum Argungu Kebbi Nigeria,,,
"Emir Haruna Road Ammassa Complex, Birnin Kebbi, Kebbi State Nigeria",Ibiso Art Birnin Kebbi Kebbi State Nigeria,,0706 946 7855,
"Imo State University, Owerri, Imo State, Nigeria","Senate Building Imo State University Owerri Owerri Imo State, Nigeria",imsugistcontact@gmail.com,,
"Transfiguration Road Catol Aladinma Estate, Owerri Municipal, Imo State, Nigeria","Transfiguration International Schools Owerri Municipal Imo State, Nigeria",,0803 673 8368,
"King Best Printing Plaza, 21 Samek Road, Opposite IMSU gate, Okigwe Road, Owerri, lmo Nigeria",Unique Educational Consulting Owerri lmo Nigeria,,"0803 571 9790,0815 154 8386,0803 571 9790",http://www.uniqueduconsult.com/index.html
"No 15 road 1 heathland court housing estate PH road, Owerri, Imo state",Tima Agric Consultants Owerri Imo state,timaagric4@gmail.com,"0810 555 4204,0902 022 7265",
"RoAgro Integrated Services, New Owerri, Imo State Nigeria",RoAgro Integrated Services New Owerri Imo State Nigeria,,"0818 989 8643,0816 560 7136",
"No. 1 Ezinna Farms Estate Ogbeke, Owerri, lmo Nigeria",Rigor Mortis Ventures Owerri lmo Nigeria,rigormortisventures@gmail.com,"0703 563 0272,0906 681 6972",
"No 46 Tetlow Road, Owerri, Imo State Nigeria",StanVista Consulting Limited Owerri Imo State Nigeria,owerri.nigeria@stanvista.com,"0703 541 3366,0902 150 9431,0815 360 7045",http://www.stanvista.com/travel-service/
"Plot 172, Site and Services, Word Bank, Owerri, Imo State Nigeria",NI Godswill & Co Farm Owerri Imo State Nigeria,ign872@gmail.com,0703 041 8094,
"Pool Side, Heroes Apartment, Opposite New Imo Concorde Hotel, New Owerri, Imo State, Nigeria","JT Gym New Owerri Imo State, Nigeria",jtgymorg@gmail.com,0809 227 7284,
"Area 'C, Behind Banboli Hotel, Concord Avenue, New Owerri, Imo State Nigeria",Owerri Sports Club New Owerri Imo State Nigeria,owerrisportsclub@yahoo.com,"0806 257 0786,0803 886 2468",
"No 47 Egbu Road, Close to Chukwuma Nwoha Junction, Owerri, lmo Nigeria",Figure Frenzy Gym and Spa Owerri lmo Nigeria,nuellashuak@yahoo.com,"0703 873 9802,0802 891 9196,0803 056 3196",
"Dan Anyiam Stadium Wetheral Road, New Owerri, Imo State, Nigeria","Heartland Football Club New Owerri Imo State, Nigeria",,"0803 384 2895,0906 733 3836",
"26 Ohale Street, Pocket Layout, Egbeada, Owerri, Imo State, Nigeria","Wannyviv Fabrics Egbeada, Owerri Imo State, Nigeria",,0810 163 0495,
"Ministry of Education Secretariat, lbadan, Oyo Nigeria",Oyo State Scholarship Board lbadan Oyo Nigeria,info@oyostate.gov.ng,0805 614 9231,https://oyostate.gov.ng/oyo-state-scholarship-board/
"State Secretariat, Agodi, lbadan, Oyo Nigeria",Oyo State Road Traffic Management Authority lbadan Oyo Nigeria,info@oyostate.gov.ng,,https://oyostate.gov.ng/oyo-state-road-traffic-management-authority/#1503060294221-6e75d1f3-9be1cabc-8c3e
"Oyo State Government Secretariat, Agodi, Ibadan, Oyo State, Nigeria","Oyo State Government Ibadan Oyo State, Nigeria",info@oyostate.gov.ng,"02 810 2934,02 105 660,0809 178 4535",https://oyostate.gov.ng/
"Klm 133, Caterpillar bus stop, Ibadan/Lagos expressway, Ibadan, Oyo State Nigeria",Tracs N Crawlers Global Limited Ibadan Oyo State Nigeria,tncgloballtd@gmail.com,0812 519 3014,
"First Floor Suite 2 Ile Itesiwaju Building Along Oba Adebimpe Road, Dugbe Ibadan, Oyo  Nigeria",Seyi Adeleke Farm Dugbe Ibadan Oyo  Nigeria,,0908 274 2259,
"Km.47, Ibadan/Iseyin Express Road Moniya, Ibadan, Oyo State",Sedulus Farms Nig Limited Ibadan Oyo State,support@sedulusfarms.com.ng,"0812 075 7274,0816 489 1409,0805 776 1905",
"Hiaiw Farms Alako, Ido Local Government, Ibadan, Oyo",Hiaiw farms Ibadan Oyo,hiaiwintegrated@gmail.com,"0904 666 4887,0811 567 8602",
"Former Ibtc Building, Ogunpa Road, Oyo, Ibadan, Nigeria","Ambassador Agro Ltd Oyo Ibadan, Nigeria",,0803 373 9892,
"Ilaju Village, Ido Local Govt Ilaju-Eruwa/Ibadan Road, Ibadan, Oyo State",Belfarms Integrated Services Ibadan Oyo State,temiogunwuyi@yahoo.com,0909 117 8049,
"12, Onireke street,, Ibadan, Oyo",Alcotoses Integrated Resources Ltd Ibadan Oyo,aosesina@gmail.com,0818 934 9647,
"Arikewuyo Street, Road 5, Moniya, Ibadan, Nigeria","Gracevine Agribusiness Limited Moniya Ibadan, Nigeria",,0808 480 4481,
"129 Railway siding, Magazine Road, Dugbe, Ibadan, Oyo state",Co,,0803 472 3839,
"30, Old Lagos Road, Nigerwest, Ibadan, Oyo Nigeria",Agrodata Ibadan Oyo Nigeria,[email protected],0909 888 1127,
"Block CTechnology incubation center Samonda, beside scripture union, Ibadan, Oyo",Fehmat Global Enterprises Ibadan Oyo,fehmatglobal@gmail.com,0813 963 0349,
"F. Abel Shopping Complex Iwo Road, Ibadan North, Oyo State, Nigeria","Ab Top Agro Allied Services Ibadan North Oyo State, Nigeria",,0803 379 8747,
"69, Ashi Road, Ashi Bodija, Ibadan, Oyo Nigeria","FarmKonnect Nigeria Ashi Bodija, Ibadan Oyo Nigeria",support@farmkonnectng.com,"0905 910 2364,01 888 8306,0909 172 5407",https://www.farmkonnectng.com/
"Kilometer 110, Abeokuta Road, Off Alalubosa GRA, Ibadan, Oyo Nigeria",City Farmers Scheme Ibadan Oyo Nigeria,cityfarmersscheme@gmail.com,0706 722 4010,http://www.netplatnigeria.com
"Ist Floor Kollongton Plaza, Obafemi Awolowo Way, Ibadan, Oyo State",SB Agrovital Ltd Ibadan Oyo State,segun@sbAgrovital.com,"0908 571 4200,0813 973 6757,0808 598 0000",https://sbagrovital.com
"Dynapha135 Samsung House, Opposite Oando Servise Station, Mokola Ibadan, Oyo Nigeria",Agbekoya Farmers Association Mokola Ibadan Oyo Nigeria,,0812 969 4816,
"9 Magazine Road, Jericho Ibadan, Oyo Nigeria",Jubaili Agrotec Limited Jericho Ibadan Oyo Nigeria,,"0812 860 0062,0812 860 0011",http://www.jubailiagrotec.com/
"Technical Centre, Iwo Road, Ibadan, Oyo State, Nigeria","Dizengoff West Africa Iwo Road, Ibadan Oyo State, Nigeria",info@baltoncp.com,"0702 551 6300,0803 402 3727",https://www.baltoncp.com/nigeria/
"Office 1,Sosefik Place, Popo Bus Stop (Opposite Alao Akala Way) Akobo Ojunrin Road, Ibadan, Oyo",Transville Agro Ibadan Oyo,info@transvilleagrong.com,"0903 374 0382,0901 499 7249",
"Capsfeed Building, Olaogun Bus Stop, Old Ife Road, Ibadan, Oyo State, Nigeria","Caps Feed Limited Ibadan Oyo State, Nigeria",sales@capsfeed.com,"0803 350 6514,0803 324 4318,0815 096 5928",http://www.capsfeed.com
"1, J.k. Close,14th Avenue, Oluyole Estate, Ring Road, Ibadan, Oyo State",Bnot Harel Ltd Ibadan Oyo State,sales@bnotharel.com,"0705 159 0019,0705 159 0003,0705 159 0004",http://www.bnotharel.com/
"Sango Eleyele Road, Arometa Meta Bus Stop, Opposite NMPC Filing Station, Arometa Ibadan, Oyo state, Nigeria","Esther Oshikoya CBT Centre Arometa Ibadan Oyo state, Nigeria",,"0703 189 6027,0813 023 7922",
"Zik/Indy Mini-market, Beside Nnamdi Azikiwe Hall, University of Ibadan, Oyo, Ibadan",Ileemore Oyo Ibadan,,0908 214 2700,
"No 4 Elekunkun Street, Ajeigbe, Off Ring Road, Ibadan, Oyo State, Nigeria","Hopewell Academy Ibadan Oyo State, Nigeria",,0703 017 2319,
"23, W. O. Lawal Street, Behind Lister Building, Ring Road, Ibadan, Oyo State",Fashioned and Made for Excellence Foundation Ibadan Oyo State,info@thefameinitiative.org,7036559678,
"Bayse One Plaza, Adeoyo Roundabout, Ring Road, Ibadan, Oyo State",Avant Tecno Nigeria Ibadan Oyo State,avanttecnonigeria@gmail.com,+234 816 871 5580,http://www.avanttecnonigeria.com
"Badeku Road, Agudu, Ibadan, Oyo State, Nigeria","Claret Theologate Elerunmoke Ibadan Agudu, Ibadan Oyo State, Nigeria",,,
"Bodija Road, Ibadan, Oyo State, Nigeria","Saints Peter and Paul Catholic Major Seminary Ibadan Oyo State, Nigeria",,"02 810 0834,02 810 0265,02 810 0105",https://ssppseminaryibadan.org/
"1/3 Akintoye Adesina Way, Ijokodo, Ibadan, Oyo State, Nigeria","West Africa Examination Council Zonal Office Ijokodo, Ibadan Oyo State, Nigeria",zcwaecibadan@yahoo.com,"02 810 4370,02 810 1058,0803 616 7394",https://www.waecnigeria.org/
"Alakia-Isebo / Iyana Church Road, Ibadan, Oyo State, Nigeria","Ibadan City Polytechnic Ibadan Oyo State, Nigeria",info@icp.edu.ng,0708 459 3012,http://www.icp.edu.ng/
"National Secretariat, Sango /UI Road, Samonda, Ibadan, Oyo State","Nigerian Institute of Science Laboratory Tech. Samonda, Ibadan Oyo State",inform@nislt.gov.ng,"0806 211 7814,0803 078 7747,0802 299 4686",http://www.nislt.gov.ng/
"JAMB Zonal Office Quarters 845, Agodi G.R.A. Opposite Ikoloba Grammar School, Agodi, Ibadan, Oyo State, Nigeria","Joint Admissions Matriculation Board Agodi, Ibadan Oyo State, Nigeria",oyo@jamb.gov.ng,"0816 633 5513,0812 365 8955",https://www.jamb.gov.ng/
"24 Jibowu Crescent, Iyaganku, Oyo Nigeria",Ibadan International School Iyaganku Oyo Nigeria,mail@ibadaninternationalschool.com,"0705 558 3807,0704 550 4377",https://www.ibadaninternationalschool.com
"Main Campus, Federal College of Education (Special), Oyo State, Nigeria",Federal College of Education Oyo State Nigeria,info@fcesoyo.edu.ng,0703 431 4543,https://www.fcesoyo.edu.ng/
"Ibadan North, Oyo State, Nigeria",Ajayi Crowther University Oyo State Nigeria,admissions@acu.edu.ng,+234 816 270 7728,https://acu.edu.ng/
"7, Parry Road University of Ibadan, Ibadan, Oyo State Nigeria","Centre for Petroleum, Energy Economics & Law Ibadan Oyo State Nigeria",cpeel@ui.edu.ng,"0810 327 9807,0902 830 9734",https://cpeel.ui.edu.ng
"Former 2, Mech. Drive P.M.B 5500, Off Ring Road, Ibadan, Oyo State, Nigeria","NYSC Secretariat Ibadan Oyo State, Nigeria",oyo@nysc.gov.ng,"0813 302 3174,0803 787 1606,0803 075 9352",https://nysc.gov.ng/
"Suite 34 Behind Tantalizers Iwo Road, Ibadan, Oyo Nigeria",Real Impact Concept Ibadan Oyo Nigeria,,"0802 931 3419,0810 237 0838",
"No 59 Ondo Street Old Bodija, Ibadan, Oyo State Nigeria",Leading Edge Global Resources Ibadan Oyo State Nigeria,,"0805 612 9314,0803 728 2718",
"No.2, Adegboyega Cresent, Near Oando Petrol Station,Poly Eleyele Rd, lbadan, Oyo Nigeria",Turboreal International Recruitment Services Ltd lbadan Oyo Nigeria,turbo09_jobs@yahoo.com,"0802 509 8018,0802 933 1294",
"3rd Floor, Premium House, Opposite Evans Publishers, Magazine Road, Jericho, lbadan, Oyo Nigeria",Knowledgepool Consulting Limited lbadan Oyo Nigeria,knowledgepoolconsultinglimited@gmail.com,"0902 850 4654,0803 110 8224,0913 114 5602",
"Middle Floor, Office 19, Sunazco Plaza, Oke Ado, lbadan, Oyo Nigeria",Soar Enterprise lbadan Oyo Nigeria,,0803 419 6093,
"Along lwo Road, lbadan, Oyo Nigeria",Emilimited.org lbadan Oyo Nigeria,inquiry@emilimited.org,"0806 701 1998,0802 629 8959",
"3rd floor, Lister Building, Ring road, Ibadan, Oyo state",City Links Employment Bureau Ibadan Oyo state,citylinksconsultancy@gmail.com,"0809 259 0390,0703 067 9507",
"K.k Bustop Along Lagos/ibadan Express Way Decking Building, Ibadan, Oyo State Nigeria",H&b concepts Ibadan Oyo State Nigeria,olahb295@gmail.com,"0813 806 0644,0705 366 9597",
"No 28 Adebajo Street, Kongi Layout, New Bodija, Ibadan, Oyo State, Nigeria","Trupurpose Job Shop Ibadan Oyo State, Nigeria",info@trupurpose.com.ng,"0817 189 9929,0803 323 4172,0807 746 1137",http://trupurpose.com.ng/
"Iyanu Shopping Complex, After UI Second Gate, Ibadan, Oyo State, Nigeria","Unity Hospital Ibadan Oyo State, Nigeria",,0802 330 1593,
"84, Emmanuel Alayande Street, 1st Floor Samsung Store, Opp UBA Iwo Road, Ibadan, Oyo Nigeria",Strategic Outsourcing Limited Ibadan Oyo Nigeria,,"0809 615 0000,0701 012 6408",http://www.solnigeria.com/Pages/about_us
"No 6/7 Aluko Street, Ibadan, Oyo State, Nigeria","Jobruns.com Ibadan Oyo State, Nigeria",contacts@jobruns.com,,https://jobruns.com/
"No 53, Oyo Road, Goodwill House, Ibadan, Oyo State, Nigeria","EZ37 Solutions Limited Ibadan Oyo State, Nigeria",info@ez37solutions.org,"0817 697 6066,0813 398 3603",http://www.ez37solutions.org/
